Rainfall_mm,Temperature_C,Soil_pH,Fertilizer_kg_per_ha,Pesticide_kg_per_ha,Sunlight_Hours_per_day,Farm_Size_ha,Crop_Yield_tonnes_per_ha,Soil_Type_Loamy,Soil_Type_Peaty,Soil_Type_Sandy,Soil_Type_Silty,Crop_Type_Cotton,Crop_Type_Maize,Crop_Type_Rice,Crop_Type_Soybean,Crop_Type_Wheat,Irrigation_Yes
633.7,22.7,6.0,137.2,4.15,7.4,3.36,8.16,0,1,0,0,0,0,0,1,0,1
1068.54,23.9,6.05,50.8,4.18,11.0,7.108,6.56,0,1,0,0,0,0,0,0,1,0
423.6,17.4,5.77,247.4,7.45,9.0,1.32,8.34,0,1,0,0,0,0,1,0,0,0
965.2,27.2,5.85,97.4,4.05,8.2,4.3,7.84,0,0,0,0,0,0,1,0,0,0
1056.7,27.3,5.55,252.0,7.76,6.9,1.34,8.22,0,1,0,0,0,0,0,0,1,1
844.0,23.6,6.67,208.4,3.346,8.14,8.47,7.42,0,0,0,1,1,0,0,0,0,1
858.6,14.7,7.44,175.0,2.88,11.0,12.19,7.1,0,0,1,0,0,0,0,0,1,0
1145.4,21.5,5.41,113.5,5.45,6.1,1.48,7.27,0,0,1,0,0,0,0,0,0,1
1203.5,21.8,6.31,162.6,0.42,8.3,9.2,8.95,0,0,0,1,0,0,0,1,0,1
994.6,24.5,6.27,140.8,4.8,5.5,4.32,8.56,0,0,0,1,0,0,1,0,0,0
905.0,23.2,8.11,73.2,8.37,4.4,4.73,8.05,0,0,0,1,0,0,0,0,0,1
1159.6,19.3,5.49,216.2,5.49,7.4,19.9,6.79,0,0,0,0,0,0,0,0,0,0
955.0,33.7,7.26,152.6,8.71,9.6,5.63,6.66,0,0,0,1,0,0,0,1,0,1
942.5,15.2,6.9,141.2,5.17,6.2,11.2,7.58,0,0,1,0,0,0,0,0,1,0
581.7,25.5,6.43,122.9,3.73,6.8,8.21,7.06,0,1,0,0,0,0,0,0,1,0
809.5,26.3,5.95,84.4,3.57,6.9,1.64,7.01,0,0,1,0,0,0,0,0,0,0
949.9,27.4,5.85,106.2,7.49,9.8,3.67,9.71,1,0,0,0,0,0,1,0,0,1
772.3,14.4,6.63,87.7,7.33,10.9,12.47,7.49,0,0,1,0,0,0,0,0,0,1
958.0,20.9,7.1,18.7,2.61,5.0,6.62,6.63,0,0,1,0,0,0,0,0,1,1
