Soil_Type,Crop_Type,Rainfall_mm,Temperature_C,Soil_pH,Fertilizer_kg_per_ha,Pesticide_kg_per_ha,Sunlight_Hours_per_day,Farm_Size_ha,Irrigation,Crop_Yield_tonnes_per_ha
Peaty,Soybean,633.7,22.7,6.0,137.2,4.15,7.4,3.36,Yes,8.16
Peaty,Wheat,,23.9,6.05,50.8,4.18,11.8,,No,6.56
Peaty,Rice,423.6,17.4,5.77,247.4,7.45,9.0,1.32,No,8.34
Clay,Rice,965.2,27.2,5.85,97.4,4.05,8.2,4.3,No,7.84
Peaty,Wheat,1056.7,27.3,5.55,252.0,7.76,6.9,1.34,Yes,8.22
Silty,Cotton,844.0,,6.67,208.4,,,8.47,Yes,7.42
Sandy,Wheat,858.6,14.7,7.44,175.0,2.88,11.7,12.19,No,7.1
Sandy,Barley,1145.4,21.5,5.41,113.5,5.45,6.1,1.48,Yes,7.27
Silty,Soybean,1203.5,21.8,6.31,162.6,0.42,8.3,9.2,Yes,8.95
Silty,Rice,994.6,24.5,6.27,140.8,4.8,5.5,4.32,No,8.56
Silty,Barley,905.0,23.2,8.11,73.2,8.37,4.4,4.73,Yes,8.05
Clay,Barley,1159.6,19.3,5.49,216.2,5.49,7.4,19.9,No,6.79
Silty,Soybean,955.0,33.7,7.26,152.6,8.71,9.6,5.63,Yes,6.66
Sandy,Wheat,942.5,15.2,6.9,141.2,5.17,6.2,11.2,No,7.58
Peaty,Wheat,581.7,25.5,6.43,122.9,3.73,6.8,8.21,No,7.06
Sandy,Barley,809.5,26.3,5.95,84.4,3.57,6.9,1.64,No,7.01
Loamy,Rice,949.9,27.4,5.85,106.2,7.49,9.8,3.67,Yes,9.71
Sandy,Barley,772.3,14.4,6.63,87.7,7.33,10.9,12.47,Yes,7.49
Sandy,Wheat,958.0,20.9,7.1,18.7,2.61,5.0,6.62,Yes,6.63
Clay,Rice,920.4,29.9,5.59,105.2,7.58,7.4,6.02,Yes,8.07
Silty,Maize,1177.9,17.3,8.37,126.1,1.78,8.7,2.61,No,9.64
Sandy,Maize,566.6,,7.31,108.1,10.77,5.6,,Yes,9.43
Loamy,Cotton,724.8,20.2,6.97,105.5,1.82,7.8,3.61,Yes,7.74
Peaty,Cotton,770.2,24.2,5.71,81.6,7.75,5.9,6.13,Yes,6.97
Clay,Cotton,985.4,25.5,8.09,104.2,4.66,6.7,7.25,No,5.81
Silty,Soybean,665.9,24.6,6.7,96.7,4.53,9.4,2.91,Yes,6.96
Loamy,Cotton,764.2,22.3,6.18,,3.54,6.4,5.09,No,6.75
Silty,Maize,712.0,31.0,6.67,133.3,5.39,7.3,4.16,No,10.01
Clay,Wheat,1051.1,24.3,7.0,183.2,4.24,8.9,4.58,Yes,9.32
Clay,Maize,1327.7,25.4,6.4,207.3,6.23,6.7,28.76,,11.43
Sandy,Cotton,764.5,14.5,6.7,102.8,,6.0,2.4,Yes,5.93
Loamy,Maize,1169.6,25.9,5.56,67.9,5.85,4.4,1.61,Yes,9.86
Loamy,Barley,832.4,26.5,6.81,160.5,3.18,8.3,4.15,Yes,9.19
Silty,Cotton,1199.2,14.7,5.7,141.9,3.57,5.5,1.0,No,6.04
Sandy,Wheat,600.2,21.0,7.5,122.3,9.3,6.7,3.4,No,6.63
Peaty,Soybean,273.3,17.9,6.41,143.6,6.22,7.3,2.95,Yes,7.44
Peaty,Cotton,1539.7,25.1,6.72,181.1,5.77,6.0,3.42,Yes,6.16
Peaty,,1026.1,27.6,7.72,204.6,,6.9,0.75,Yes,9.6
Clay,Rice,828.6,25.6,6.97,78.7,7.04,5.6,1.88,No,7.21
Clay,Soybean,423.7,28.0,6.03,196.4,2.19,7.0,1.48,Yes,7.06
Peaty,Soybean,1055.2,26.0,,156.0,4.5,7.1,9.15,Yes,8.35
Peaty,Rice,1097.3,13.9,6.33,54.3,3.38,12.0,18.1,Yes,9.51
Clay,Maize,812.0,26.5,6.0,140.7,6.95,9.6,2.81,Yes,10.88
Clay,Rice,936.4,22.1,6.14,265.7,7.42,9.3,0.33,No,8.62
Loamy,Wheat,1213.2,28.9,7.61,162.4,4.94,7.6,4.01,Yes,8.76
Silty,Cotton,894.0,15.6,6.18,111.0,4.26,7.0,1.79,No,6.68
Silty,Wheat,912.4,9.7,4.84,86.4,7.3,7.4,3.24,No,6.54
Loamy,Cotton,614.4,26.3,6.43,108.9,6.48,7.0,0.44,No,6.76
Peaty,Cotton,846.6,24.9,7.4,110.0,7.02,10.4,15.88,Yes,7.23
Clay,Soybean,722.3,13.3,6.1,126.2,7.49,8.0,3.79,No,6.9
Clay,Maize,931.0,18.5,8.64,155.0,6.55,7.0,0.62,Yes,9.91
Peaty,Rice,1138.5,15.5,6.22,218.4,3.97,5.0,4.29,No,7.96
Loamy,Wheat,848.1,20.0,5.88,,8.11,8.6,0.63,Yes,9.77
Sandy,Barley,843.0,24.5,7.4,248.4,2.53,6.1,2.74,,8.02
Sandy,Wheat,844.1,26.5,7.44,111.6,6.18,7.8,4.14,Yes,7.74
Clay,Soybean,1178.4,22.5,5.87,172.7,7.21,9.2,9.0,Yes,8.63
Silty,Soybean,1270.6,20.0,5.29,206.3,3.28,6.2,4.21,Yes,7.46
Silty,Rice,326.7,15.3,6.18,98.1,3.73,10.7,9.54,Yes,9.35
Silty,Rice,1453.0,24.5,6.18,67.8,0.0,6.0,,Yes,9.07
Sandy,Rice,1200.4,25.9,6.79,169.7,4.27,8.6,4.47,Yes,8.89
Loamy,Barley,819.8,31.2,7.28,226.7,6.25,10.5,7.33,No,7.88
Peaty,Wheat,890.1,22.4,6.36,42.7,4.98,6.7,0.85,No,6.58
Peaty,Cotton,1030.0,21.7,6.36,80.0,1.85,10.0,21.04,Yes,7.44
Loamy,Rice,1191.5,18.5,6.83,116.3,4.41,7.7,2.46,No,8.95
Clay,Soybean,676.3,29.9,6.69,210.2,,6.6,5.85,No,6.75
Clay,Wheat,938.7,30.8,6.88,207.4,0.0,8.6,3.18,Yes,7.72
Silty,Maize,1168.2,27.3,7.26,202.9,0.0,7.3,2.97,No,9.52
Clay,Barley,993.1,27.9,7.18,94.3,7.64,7.8,2.62,No,6.88
Loamy,Barley,1009.9,12.2,5.53,175.0,,7.3,10.04,No,7.57
Silty,Wheat,752.5,26.2,8.81,113.9,7.72,9.8,,Yes,6.65
Loamy,Cotton,868.0,20.6,5.73,91.3,4.83,8.2,0.97,Yes,7.31
Loamy,Cotton,886.4,17.4,7.51,86.1,5.87,7.0,6.46,No,6.81
Clay,Wheat,1014.5,19.8,6.79,166.8,6.68,5.1,2.11,Yes,8.56
Clay,Barley,234.1,25.1,6.09,188.6,4.61,8.5,2.22,No,5.71
